rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Temporal.Synchronous	Kai	vis įsivaizduodavau, kad vieną dieną pabėgsiu	buvau maža
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	įsivaizduodavau	vieną dieną pabėgsiu
Implicit	Contingency.Cause+SpeechAct.Result+SpeechAct	taigi	Kai buvau maža, vis įsivaizduodavau, kad vieną dieną pabėgsiu	Nuo tada, kai suėjo šešeri, visuomet turėjau pasiruošusi kuprinę su drabužiais ir paslėpusi konservų skardinių giliai spintoje
Explicit	Temporal.Asynchronous.Succession	kai	visuomet turėjau pasiruošusi kuprinę su drabužiais ir paslėpusi konservų skardinių giliai spintoje	suėjo šešeri
Implicit	Expansion.Conjunction	dar daugiau	Nuo tada, kai suėjo šešeri, visuomet turėjau pasiruošusi kuprinę su drabužiais ir paslėpusi konservų skardinių giliai spintoje	Nenustygau vietoje, bijojau, kad tapsiu rutinos ir nuobodulio grobiu
Implicit	Contingency.Cause.Reason	nes	Nenustygau vietoje	bijojau, kad tapsiu rutinos ir nuobodulio grobiu
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	bijojau	tapsiu rutinos ir nuobodulio grobiu
Explicit	Contingency.Cause.Reason	Todėl	Nenustygau vietoje, bijojau, kad tapsiu rutinos ir nuobodulio grobiu	daugumoje mano vaikystės prisiminimų įvairūs užsisvajojimai, kuriuose aš kertu sienas, ieškau uogų, sutinku visokiausius keistuolius - nesuvaržytus, gyvenančius kelyje
Explicit	Temporal.Asynchronous.Precedence	tačiau	Metai bėgo	dauguma nuotykių, apie kuriuos svajojau būdama maža - keliauti ir kloti savo kelią tarp kitų pasaulių, ne tik mano vienos - tapo realybe, kai tapau dokumentikos fotografe
Explicit	Temporal.Synchronous	kai	dauguma nuotykių, apie kuriuos svajojau būdama maža - keliauti ir kloti savo kelią tarp kitų pasaulių, ne tik mano vienos - tapo realybe	tapau dokumentikos fotografe
Explicit	Comparison.Concession.Arg2-as-denier	Bet	Metai bėgo, tačiau dauguma nuotykių, apie kuriuos svajojau būdama maža - keliauti ir kloti savo kelią tarp kitų pasaulių, ne tik mano vienos - tapo realybe, kai tapau dokumentikos fotografe	joks kitas potyris nebuvo toks artimas mano vaikystės svajonėms, kaip kad gyvenimas kartu su keliautojais sutiktais JAV ir jų kasdienybės fotografavimas
Implicit	Expansion.Level-of-detail.Arg2-as-detail	kitaip tariant	Bet joks kitas potyris nebuvo toks artimas mano vaikystės svajonėms, kaip kad gyvenimas kartu su keliautojais sutiktais JAV ir jų kasdienybės fotografavimas	Tai klajokliška svajonė, kitokia amerikietiška svajonė, kurią pasirenka jauni benamiai, keliautojai, tranzuotojai, bastūnai ir valkatos
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	Dauguma galvojame	bastūnas - praeities sutvėrimas
Implicit	Contingency.Cause.Result	taigi	Dauguma galvojame, kad bastūnas - praeities sutvėrimas	"Žodis ""klajoklis"" vaizduotėje nupiešia seną juodai baltą vaizdą, kuriame pajuodęs nuo anglies, nugairintu veidu vyriškis, tabaluojantis kojomis sėdėdamas vagone"
Explicit	Comparison.Contrast	tačiau	"Žodis ""klajoklis"" vaizduotėje nupiešia seną juodai baltą vaizdą, kuriame pajuodęs nuo anglies, nugairintu veidu vyriškis, tabaluojantis kojomis sėdėdamas vagone"	šios nuotraukos spalvotos, jos parodo per visą šalį klajojančią bendruomenę - be galo gyvybingą ir kūrybiškai laisvą, matančią tas Amerikos dalis, kurių niekas kitas nemato
Implicit	Expansion.Conjunction	ir	šios nuotraukos spalvotos	jos parodo per visą šalį klajojančią bendruomenę
Explicit	Expansion.Manner.Arg2-as-manner	Kaip	dabartiniai klajokliai keliauja geležinėmis ir betoninėmis JAV arterijomis	ir jų pirmtakai
Implicit	Expansion.Level-of-detail.Arg2-as-detail	faktiškai	dabartiniai klajokliai keliauja geležinėmis ir betoninėmis JAV arterijomis	Dienomis jie įšoka į krovininius traukinius, pakelia nykštį ir važiuoja su tuo, kas pasitaiko - nuo sunkvežimių vairuotojų iki paprastų moteriškių
Implicit	Expansion.Conjunction	o	Dienomis jie įšoka į krovininius traukinius, pakelia nykštį ir važiuoja su tuo, kas pasitaiko - nuo sunkvežimių vairuotojų iki paprastų moteriškių	Naktimis miega po žvaigždėmis, susispaudę su savo šunimis, katėmis, naminėmis žiurkėmis
Explicit	Contingency.Purpose.Arg2-as-goal	kad	Kai kurie keliautojai pasirenka kelią tarsi boikotuodami materializmą, tradicinius darbus, universitetinį išsilavinimą tam	gautų nuotykių gūsį
Implicit	Comparison.Contrast	tuo tarpu	Kai kurie keliautojai pasirenka kelią tarsi boikotuodami materializmą, tradicinius darbus, universitetinį išsilavinimą tam, kad gautų nuotykių gūsį	Kiti ateina iš žemesniojo visuomenės sluoksnio, niekada nė neturėję šanso pakilti aukščiau: globos namų atstumtieji, paaugliai, bėgantys nuo prievartos ir neatleidžiančių namų
Implicit	Contingency.Cause.Reason	nes	Kiti ateina iš žemesniojo visuomenės sluoksnio	niekada nė neturėję šanso pakilti aukščiau
Implicit	Comparison.Contrast	tačiau	Ten, kur kiti mato nepritekliaus ir ekonominių nesėkmių istorijas	patys keliauninkai mato savo egzistenciją pro išsilaisvinimo ir laisvės prizmę
Implicit	Contingency.Cause+SpeechAct.Reason+SpeechAct	todel	Ten, kur kiti mato nepritekliaus ir ekonominių nesėkmių istorijas, patys keliauninkai mato savo egzistenciją pro išsilaisvinimo ir laisvės prizmę	Jie verčiau gyvens ne pertekime, kurį jie mato kaip viską švaistančią vartotojišką visuomenę, ir nevergaus nerealistiškai tradicinei amerikietiškai svajonei
Implicit	Contingency.Cause.Reason	nes	Jie verčiau gyvens ne pertekime	kurį jie mato kaip viską švaistančią vartotojišką visuomenę
Explicit	Expansion.Conjunction	ir	Jie verčiau gyvens ne pertekime	nevergaus nerealistiškai tradicinei amerikietiškai svajonei
Implicit	Contingency.Cause.Result	taigi	Jie verčiau gyvens ne pertekime, kurį jie mato kaip viską švaistančią vartotojišką visuomenę, ir nevergaus nerealistiškai tradicinei amerikietiškai svajonei	Jie pasinaudoja faktu, kad JAV iki 40 proc. maisto atsiduria konteineriuose ir rausiasi juose ieškodami puikios kokybės produkcijos
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	Jie pasinaudoja faktu	JAV iki 40 proc. maisto atsiduria konteineriuose
Implicit	Expansion.Conjunction	ir	Jie pasinaudoja faktu, kad JAV iki 40 proc. maisto atsiduria konteineriuose ir rausiasi juose ieškodami puikios kokybės produkcijos	Jie paaukoja meterialinį komfortą tam, kad gautų erdvės ir laiko tyrinėti savo kūrybines erdves, svajoti, skaityti, rašyti, dirbti su menu ir muzika
Explicit	Contingency.Purpose.Arg2-as-goal	kad	Jie paaukoja meterialinį komfortą tam	gautų erdvės ir laiko tyrinėti savo kūrybines erdves, svajoti, skaityti, rašyti, dirbti su menu ir muzika
Explicit	Comparison.Concession.Arg2-as-denier	Bet	Jie paaukoja meterialinį komfortą tam, kad gautų erdvės ir laiko tyrinėti savo kūrybines erdves, svajoti, skaityti, rašyti, dirbti su menu ir muzika	šis gyvenimo būdas turi daug aspektų, kurie yra toli nuo idilės
Implicit	Contingency.Cause.Reason	nes	Bet šis gyvenimo būdas turi daug aspektų, kurie yra toli nuo idilės	Niekas neatsikrato savo ydų tiesiog išeidami į kelią
Implicit	Expansion.Manner.Arg2-as-manner	kaıp	Niekas neatsikrato savo ydų	tiesiog išeidami į kelią
Implicit	Expansion.Level-of-detail.Arg2-as-detail	konkreciai	Niekas neatsikrato savo ydų tiesiog išeidami į kelią	Priklausomybės tikros, stichijos tikros, suluošinimas ir žudynės krovininiuose traukiniuose - visi, kurie gyveno gatvėse, gali paliudyti apie išsamius įstatymų sąrašus, kurie benamių egzistavimą paverčia nusikaltimu
Implicit	Expansion.Conjunction	ir	Priklausomybės tikros	stichijos tikros
Implicit	Expansion.Conjunction	ir	Priklausomybės tikros, stichijos tikros, suluošinimas ir žudynės krovininiuose traukiniuose	visi, kurie gyveno gatvėse, gali paliudyti apie išsamius įstatymų sąrašus, kurie benamių egzistavimą paverčia nusikaltimu
Implicit	Expansion.Instantiation	pavyzdžiui	Priklausomybės tikros, stichijos tikros, suluošinimas ir žudynės krovininiuose traukiniuose - visi, kurie gyveno gatvėse, gali paliudyti apie išsamius įstatymų sąrašus, kurie benamių egzistavimą paverčia nusikaltimu	Kiek iš jūsų žino, kad daugelyje JAV miestų dabar yra uždrausta sėdėti ant šaligatvio, susisukti į pledą, miegoti savo mašinoje, pasiūlyti maisto nepažįstamajam
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	iš jūsų žino	daugelyje JAV miestų dabar yra uždrausta sėdėti ant šaligatvio, susisukti į pledą, miegoti savo mašinoje, pasiūlyti maisto nepažįstamajam
AltLex	Hypophora	Kiek	iš jūsų žino, kad daugelyje JAV miestų dabar yra uždrausta sėdėti ant šaligatvio, susisukti į pledą, miegoti savo mašinoje, pasiūlyti maisto nepažįstamajam	"Aš žinau apie šiuos įstatymus, nes mačiau, kaip draugai ir kiti keliautojai sėdo už grotų arba gavo įspėjimus, nes įvykdė šiuos ""nusikaltimus"""
Explicit	Contingency.Cause.Reason	nes	Aš žinau apie šiuos įstatymus	"mačiau, kaip draugai ir kiti keliautojai sėdo už grotų arba gavo įspėjimus, nes įvykdė šiuos ""nusikaltimus"
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kaip	mačiau	"draugai ir kiti keliautojai sėdo už grotų arba gavo įspėjimus, nes įvykdė šiuos ""nusikaltimus"
Explicit	Expansion.Disjunction	arba	draugai ir kiti keliautojai sėdo už grotų	gavo įspėjimus
Explicit	Contingency.Cause.Reason	nes	draugai ir kiti keliautojai sėdo už grotų arba gavo įspėjimus	"įvykdė šiuos ""nusikaltimus"
Implicit	Contingency.Cause.Reason	todėl	"Aš žinau apie šiuos įstatymus, nes mačiau, kaip draugai ir kiti keliautojai sėdo už grotų arba gavo įspėjimus, nes įvykdė šiuos ""nusikaltimus"	Daugelis iš jūsų turbūt svarsto, kodėl kas nors apskritai rinktųsi tokį gyvenimą - tarp daugybės diskriminuojančių įstatymų, valgant maistą iš šiukšliadėžių, miegant po tiltais, dirbant sezoninius darbus šen bei ten
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kodėl	Daugelis iš jūsų turbūt svarsto	kas nors apskritai rinktųsi tokį gyvenimą
AltLex	Hypophora	kodėl	Atsakymas į šį klausimą gali skirtis, kaip skiriasi ir žmonės sutinkami kelyje, bet keliautojai dažnai atsako vienu žodžiu: laisvė	kas nors apskritai rinktųsi tokį gyvenimą
Implicit	Expansion.Level-of-detail.Arg2-as-detail	faktiškai	Daugelis iš jūsų turbūt svarsto, kodėl kas nors apskritai rinktųsi tokį gyvenimą	tarp daugybės diskriminuojančių įstatymų, valgant maistą iš šiukšliadėžių, miegant po tiltais, dirbant sezoninius darbus šen bei ten
Explicit	Expansion.Manner.Arg2-as-manner	kaip	Atsakymas į šį klausimą gali skirtis	skiriasi ir žmonės sutinkami kelyje
Explicit	Comparison.Concession.Arg2-as-denier	bet	Atsakymas į šį klausimą gali skirtis	keliautojai dažnai atsako vienu žodžiu: laisvė
Explicit	Contingency.Purpose.Arg2-as-goal	kad	kiekvienam žmogui yra užtikrintas orumas dirbant	jie galėtų dirbti ir gyventi
Explicit	Expansion.Substitution.Arg1-as-subst	o	jie galėtų dirbti ir gyventi	ne tik dirbti ir išgyventi
